Абакан;Abakan;РФ;ABA
Абботсфорд;Abbotsford;CA;YXX
Абердин;Aberdin;ГБ;ABZ
Абиджан;Abidjan;CI;ABJ
Абу Даби;Abu Dhabi;АЕ;AUH
Авиано;Aviano;IT;AVB
Адана;Adana;ТР;ADA
Аддис Абеба;Addis Ababa;ET;ADD
Аделаида;Adelaide;AU;ADL
Аден;Aden;YE;ADE
Акаба;Aqaba;JO;AQJ
Акапулько;Acapulko;MX;ACA
Акита;Akita;JP;AXT
Аккра;Accra;GH;ACC
Актау;Aktau;КЗ;SCO
Актюбинск;Aktyubinsk;КЗ;AKX
Алдан;Aldan;РФ;ADH
Александрия;Alexandria;EG;ALY
Александруполис;Alexandroupolis;GR;AXD
Алеппо;Aleppo;SY;ALP
Алжир;Algiers;DZ;ALG
Аликанте;Alicante;ES;ALC
Алматы;Almaty;КЗ;ALA
Альгеро;Alghero;IT;AHO
Альта;Alta;NO;ALF
Альтенбург;Altenburg;ДЕ;AOC
Альтенрейн;Altenrhein;CH;ACH
Амдерма;Amderma;РФ;AMV
Амман;Amman;JO;AMM
Амритсар;Amritsar;ИН;ATQ
Амстердам;Amsterdam;NL;AMS
Анадырь;Anadyr;РФ;DYR
Анапа;Anapa;РФ;AAQ
Андижан;Andizhan;УЗ;AZN
Андрос Таун;Andros Town;BS;ASD
Анже;Angers;FR;ANE
Анкара;Ankara;ТР;ANK
Анкона;Ancona;IT;AOI
Анкоридж;Anchorage;US;ANC
Аннаба;Annaba;DZ;AAE
Анталья;Antalya;ТР;AYT
Антананариву;Antananarivo;MG;TNR
Антверпен;Antwerp;BE;ANR
Аомори;Aomori;JP;AOJ
Апиа;Apia;WS;APW
Арад;Arad;RO;ARW
Аркалык;Arkalyk;КЗ;AYK
Аруа;Arua;UG;RUA
Архангельск;Arkhangelsk;РФ;ARH
Архус;Aarhus;DK;AAR
Асахигава [ГРЖ];Asahikawa [Civ];JP;AKJ
Асмэра;Asmara;ER;ASM
Астана;Astana;КЗ;TSE
Астрахань;Astrakhan;РФ;ASF
Астуриас;Asturias;ES;OVD
Асуан;Aswan;EG;ASW
Атбасар;Atbasar;КЗ;ATX
Атланта;Atlanta;US;ATL
Атсуги;Atsugi;JP;NJA
Атырау;Atyrau;КЗ;GUW
Аугсбург;Augsburg;ДЕ;AGB
Афины;Athens;GR;ATH
Афьон;Afyon;ТР;AFY
Ахмадабад;Ahmedabad;ИН;AMD
Ачинск;Achinsk;РФ;ACS
Ашгабат;Ashgabat;ТМ;ASB
Аяччо;Ajaccio;FR;AJA
Багдад;Baghdad;IQ;BGW
Баготвилла;Bagotville;CA;YBG
Баден-Баден;Baden-Baden;ДЕ;ZCC
Базель/Мюлуз;Basel/Mulhouse;CH;EAP
Байонн;Bayonne;FR;XBY
Баколод;Bacolod;PH;BCD
Баку;Baku;АЗ;BAK
Балаково;Balakovo;РФ;BWO
Бали;Bali;PG;BAJ
Балхаш;Balhash;КЗ;BXH
Бальбоа;Balboa;PA;BLB
Бамако;Bamako;ML;BKO
Бангалоре;Bangalore;ИН;BLR
Бангкок;Bangkok;TH;BKK
Бангор;Bangor;US;BGR
Бангуи;Bangui;CF;BGF
Банджул;Banjul;GM;BJL
Бардуфос;Bardufoss;NO;BDU
Бари;Bari;IT;BRI
Барнаул;Barnaul;РФ;BAX
Барранкилья;Barranquilla;CO;BAQ
Барроу;Barrow;US;BRW
Барселона;Barcelona;ES;BCN
Басра;Basrah;IQ;BSR
Бастия;Bastia;FR;BIA
Батуми;Batumi;ГР;BUS
Бахрейн;Bahrain;BH;BAH
Бая-Маре;Baia Mare;RO;BAY
Бедфорд;Bedford;US;BED
Бейра;Beira;MZ;BEW
Бейрут;Beirut;LB;BEY
Белгород;Belgorod;РФ;EGO
Белград;Belgrade;YU;BEG
Беллингем;Bellingham;US;BLI
Белорецк;Beloreck;РФ;BCX
Белфаст;Belfast;ГБ;BFS
Бельцы;Beltsy;МД;BZY
Бенгази;Benghazi;LY;BEN
Бендер Аббас;Bandar Abbas;IR;BND
Бендер-Сери-Бегаван;Bandar Seri Begawan;BN;BWN
Бенсон;Benson;ГБ;BEX
Берген;Bergen;NO;BGO
Бердянск;Berdyansk;УА;ERD
Берлин;Berlin;ДЕ;BER
Берн;Berne;CH;BRN
Бетел;Bethel;US;BET
